NIF;clave;nomape;dirección;latitud;longitud;
10982609X;pU7Pqqk;Marlie Klassmann;1133 Blaine Place;-0,789275;113,921327;
92139205N;ipbb9sHKa;Caria MacIlwrick;0 Mosinee Place;33,436645;-112,036451;
34536319T;4pUF1OcsIG;Lauren Cootes;854 Dunning Trail;3,6196125;98,5089455;
10801728L;QhmLb4o5;Harman Bale;241 Alpine Center;24,781681;118,552365;
35382257D;7ho4Ror;Carr Zanardii;3 Manley Pass;10,21883;-83,274957;
37864728U;YDpE4jX2T5;Dannie Halvosen;24 Northport Way;54,5442039;38,6199751;
84248538P;M58pmr5njMFO;Westleigh Kidstoun;9214 Anzinger Lane;-26,400429;31,1824925;
57800852L;Ov3xZ7CDcn3n;Quintilla Haldenby;47407 Ridge Oak Point;6,208781;-75,732944;
79854052O;EUPMgezW1;Padraig Flewin;03 Tennyson Trail;6,2317308;118,0689847;
00463415C;TcyTS6ZOA;Stearn Pollie;2198 Knutson Hill;7,2992002;125,157404;
10756312E;gNlOluN2VY;Beauregard Halling;4 Algoma Crossing;38,520089;102,188043;
98803670M;pzTC1m9jsXvb;Jilli O'Fallowne;20 Bashford Street;35,026516;111,00746;
47401925F;8cRX7Cfku;Leodora Coupman;37378 Surrey Drive;49,2686175;-122,9364381;
17420418F;TqOT0sBhdqMF;Madella Schorah;428 Northport Way;-8,2154626;115,376643;
77686450I;EELBHZi;Ronni Cristofolini;48 Lyons Park;10,6149654;47,3657603;
37906620D;yeifchC0;Sigvard Kepp;2113 Michigan Parkway;-20,0879862;-44,5789542;
65474681I;jVKnmk;Rowland Eglaise;07 Monica Road;21,861787;111,955059;
64772731E;3u1neulIH;Lark Rollett;7 Burrows Street;41,65041;59,9164;
62649776M;x2HAcqkII;Ken Marciek;92762 David Road;50,8022561;20,80789;
06602903V;3DZ888;Oralla Earengey;488 Grasskamp Plaza;23,714316;103,267142;
44125609A;fLNUi4;Clea Aronstam;3217 Gulseth Way;7,0706548;-73,4415929;
45793792H;z1XG6sdo9aa;Uri Carah;3356 Butternut Center;43,4471085;17,2139989;
82646444J;ilDvORD;Bertina Gantz;3 Summit Court;-6,2241971;106,8281984;
61576601U;oNc6VUsj1Aih;Arlen Mandrier;70 Oneill Court;-7,7029847;114,0147669;
47775220Z;Ge4fCbJBSTpb;Meggie Lopez;4951 Tennyson Plaza;-4,8768346;-80,9732924;
80329190Q;XF6SnZJT;Sean Mulloch;4045 Canary Crossing;53,7558642;19,2045339;
23794291D;xFcQZWuL6;Arlen Steutly;9641 Golf Course Crossing;32,19828;119,47016;
71977774V;VRJE8iFR8A6G;Stanley Britzius;7806 Bultman Point;-8,7552;120,7106;
44224343D;6bSlFEmP;Lucky Harriagn;15 Merchant Alley;37,0597622;140,8775769;
73625759U;ApUGpQstl;Garnet Napoli;80 Kim Junction;41,387384;128,1744945;
43694363C;4GtsqChERc7;Mella Duerdin;3 Westend Way;27,032207;90,1869644;
86661878O;prff3yPC;Pavia Adamov;55 Main Terrace;37,509395;103,929926;
